"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"ELIMANNING","QB","Eli Manning","NYG",1,1,33.1,0,NA,300,4,1,1,1,1,0,0,0,0,0,0
"ANDREWLUCK","QB","Andrew Luck","IND",2,2,30.62,0,NA,393,4,1,1,-1,0,0,0,0,0,0,0
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,28.88,0,NA,302,4,0,1,8,0,0,0,0,0,0,0
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,4,28.8,3,NA,0,0,0,18,92,1,3,16,2,0,0,0
"MATTASIATA","RB","Matt Asiata","MIN",2,5,28,4,NA,0,0,0,20,78,3,3,22,0,0,0,0
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",3,6,27.5,1,NA,0,0,0,24,149,2,1,6,0,0,0,0
"PHILIPRIVERS","QB","Philip Rivers","SD",4,7,27.08,0,NA,377,3,0,1,0,0,0,0,0,0,0,0
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",5,8,26.52,0,NA,293,2,0,6,8,1,0,0,0,0,0,0
"STEVESMITH","WR","Steve Smith Sr.","BAL",1,9,25.9,10,NA,0,0,0,0,0,0,7,139,2,0,0,0
"ANTONIOBROWN","WR","Antonio Brown","PIT",2,10,25.78,11,NA,17,0,0,0,0,0,7,131,2,0,0,0
"JOEFLACCO","QB","Joe Flacco","BAL",6,11,25.38,0,NA,327,3,0,1,3,0,0,0,0,0,0,0
"TONYROMO","QB","Tony Romo","DAL",7,12,24.48,0,NA,262,3,0,6,20,0,0,0,0,0,0,0
"LARRYDONNELL","TE","Larry Donnell","NYG",1,13,23.4,8,NA,0,0,0,0,0,0,7,54,3,0,0,0
"FRANKGORE","RB","Frank Gore","SF",4,13,23.4,2,NA,0,0,0,24,119,0,1,55,1,0,0,0
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",8,15,23.38,0,NA,317,0,0,5,27,1,0,0,0,0,1,0
"RANDALLCOBB","WR","Randall Cobb","GB",3,16,23.3,9,NA,0,0,0,0,0,0,7,113,2,0,0,0
"JORDYNELSON","WR","Jordy Nelson","GB",4,17,22.8,12,NA,0,0,0,0,0,0,10,108,2,0,0,0
"ALEXSMITH","QB","Alex Smith","KC",9,18,22.72,0,NA,248,3,0,4,8,0,0,0,0,0,0,0
"EDDIEROYAL","WR","Eddie Royal","SD",5,19,22.5,7,NA,0,0,0,0,0,0,5,105,2,0,0,0
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",10,20,22.36,0,NA,314,3,0,2,4,0,0,-6,0,0,0,1
"MATTRYAN","QB","Matt Ryan","ATL",11,21,22.12,0,NA,298,3,2,2,2,0,0,0,0,0,0,0
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",12,22,21.62,0,NA,278,2,1,5,35,0,0,0,0,0,0,0
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",13,23,21.52,0,NA,218,2,1,7,58,0,0,0,0,0,0,0
"DREWBREES","QB","Drew Brees","NO",14,24,21.2,0,NA,340,2,1,1,6,0,0,0,0,0,0,0
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",6,25,19.7,7,NA,0,0,0,0,0,0,6,77,2,0,0,0
"JAYCUTLER","QB","Jay Cutler","CHI",15,26,19.14,0,NA,256,2,2,3,29,0,0,0,0,0,0,0
"MIKEGLENNON","QB","Mike Glennon","TB",16,27,19.08,0,NA,302,2,1,0,0,0,0,0,0,0,0,0
"REGGIEWAYNE","WR","Reggie Wayne","IND",7,28,17.9,8,NA,0,0,0,0,0,0,7,119,1,0,0,0
"BRANDONLAFELL","WR","Brandon LaFell","NE",7,28,17.9,10,NA,0,0,0,0,0,0,6,119,1,0,0,0
"MATTFORTE","RB","Matt Forte","CHI",5,30,17.1,6,NA,0,0,0,23,122,0,5,49,0,0,0,0
"LAMARMILLER","RB","Lamar Miller","MIA",6,31,16.7,2,NA,0,0,0,12,64,2,2,3,0,0,0,1
"TRENTRICHARDSON","RB","Trent Richardson","IND",7,32,15.9,5,NA,0,0,0,20,47,1,4,52,0,0,0,0
"JUSTINFORSETT","RB","Justin Forsett","BAL",8,33,15.7,4,NA,0,0,0,14,66,1,3,31,0,0,0,0
"TRAVISKELCE","TE","Travis Kelce","KC",2,34,15.3,9,NA,0,0,0,0,0,0,8,93,1,0,0,0
"EJMANUEL","QB","EJ Manuel","BUF",17,34,15.3,0,NA,225,2,2,1,3,0,0,0,0,0,0,0
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",9,36,15.2,3,NA,0,0,0,18,135,0,1,17,0,0,0,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",10,37,15,3,NA,0,0,0,12,63,1,3,27,0,0,0,0
"BLAKEBORTLES","QB","Blake Bortles","JAX",18,38,14.56,0,NA,254,1,2,5,24,0,0,0,0,0,0,0
"HEATHMILLER","TE","Heath Miller","PIT",3,39,14.5,11,NA,0,0,0,0,0,0,10,85,1,0,0,0
"DELANIEWALKER","TE","Delanie Walker","TEN",4,40,14.4,7,NA,0,0,0,0,0,0,5,84,1,0,0,0
"MIKEWILLIAMS","WR","Mike Williams","BUF",9,40,14.4,6,NA,0,0,0,0,0,0,2,84,1,0,0,0
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",19,42,14.12,0,NA,268,1,2,5,14,0,0,0,0,0,0,0
"CHARLIEWHITEHURST","QB","Charlie Whitehurst","TEN",20,43,14.08,0,NA,177,1,1,5,40,0,0,0,0,0,0,0
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",10,44,13.6,9,NA,0,0,0,0,0,0,5,76,1,0,0,0
"KEENANALLEN","WR","Keenan Allen","SD",11,45,13.5,12,NA,0,0,0,0,0,0,10,135,0,0,0,0
"ANDREHOLMES","WR","Andre Holmes","OAK",12,46,13.4,12,NA,0,0,0,0,0,0,5,74,1,0,0,0
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",5,46,13.4,11,NA,0,0,0,0,0,0,9,134,0,0,0,0
"RODDYWHITE","WR","Roddy White","ATL",13,48,13.3,14,NA,0,0,0,0,0,0,4,73,1,0,0,0
"JARIUSWRIGHT","WR","Jarius Wright","MIN",14,49,13.2,10,NA,0,0,0,0,0,0,8,132,0,0,0,0
"DEVINHESTER","WR","Devin Hester","ATL",15,50,13,7,NA,0,0,0,0,0,0,5,70,1,0,0,0
"JIMMYGRAHAM","TE","Jimmy Graham","NO",6,51,12.6,11,NA,0,0,0,0,0,0,8,86,1,0,0,1
"ANDREWILLIAMS","RB","Andre Williams","NYG",11,51,12.6,1,NA,0,0,0,15,66,1,0,0,0,0,0,0
"CAMNEWTON","QB","Cam Newton","CAR",21,53,12.58,0,NA,197,1,0,2,7,0,0,0,0,0,0,0
"MIKEEVANS","WR","Mike Evans","TB",16,54,12.5,7,NA,0,0,0,0,0,0,4,65,1,0,0,0
"JEREMYROSS","WR","Jeremy Ross","DET",16,54,12.5,2,NA,0,0,0,0,0,0,2,65,1,0,0,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",18,56,12.4,6,NA,0,0,0,0,0,0,5,64,1,0,0,0
"ANTONESMITH","RB","Antone Smith","ATL",12,57,12.2,0,NA,0,0,0,4,62,1,0,0,0,0,0,0
"CHRISJOHNSON","RB","Chris Johnson","NYJ",13,58,12.1,2,NA,0,0,0,6,44,1,2,17,0,0,0,0
"EDDIELACY","RB","Eddie Lacy","GB",14,59,11.9,2,NA,0,0,0,17,48,1,1,11,0,0,0,0
"KNILEDAVIS","RB","Knile Davis","KC",14,59,11.9,2,NA,0,0,0,16,107,0,1,12,0,0,0,0
"LORENZOTALIAFERRO","RB","Lorenzo Taliaferro","BAL",16,61,11.8,0,NA,0,0,0,15,58,1,0,0,0,0,0,0
"BISHOPSANKEY","RB","Bishop Sankey","TEN",17,62,11.7,2,NA,0,0,0,6,34,1,2,23,0,0,0,0
"DOUGMARTIN","RB","Doug Martin","TB",18,63,11.6,2,NA,0,0,0,14,40,1,2,16,0,0,0,0
"GOLDENTATE","WR","Golden Tate","DET",19,63,11.6,10,NA,0,0,0,0,0,0,8,116,0,0,0,0
"TORREYSMITH","WR","Torrey Smith","BAL",20,65,11.3,3,NA,0,0,0,0,0,0,2,53,1,0,0,0
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",19,66,11.2,2,NA,0,0,0,9,32,0,2,20,1,0,0,0
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",21,67,11.1,7,NA,0,0,0,1,12,0,4,39,1,0,0,0
"TYHILTON","WR","T.Y. Hilton","IND",22,68,11,10,NA,0,0,0,1,5,0,6,105,0,0,0,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",20,69,10.9,7,NA,0,0,0,19,63,0,6,46,0,0,0,0
"ERICDECKER","WR","Eric Decker","NYJ",23,70,10.8,10,NA,0,0,0,0,0,0,4,48,1,0,0,0
"VICTORCRUZ","WR","Victor Cruz","NYG",23,70,10.8,10,NA,0,0,0,0,0,0,6,108,0,0,0,0
"KHIRYROBINSON","RB","Khiry Robinson","NO",21,72,10.5,3,NA,0,0,0,8,87,0,2,18,0,0,0,0
"DEZBRYANT","WR","Dez Bryant","DAL",25,73,10.4,6,NA,0,0,0,0,0,0,3,44,1,0,0,0
"CHRISIVORY","RB","Chris Ivory","NYJ",22,74,10,6,NA,0,0,0,17,84,0,2,16,0,0,0,0
"LOUISMURPHY","WR","Louis Murphy Jr.","TB",26,75,9.9,11,NA,0,0,0,0,0,0,6,99,0,0,0,0
"MALCOMFLOYD","WR","Malcom Floyd","SD",26,75,9.9,4,NA,0,0,0,0,0,0,3,39,1,0,0,0
"DWAYNEALLEN","TE","Dwayne Allen","IND",7,77,9.8,3,NA,0,0,0,0,0,0,3,38,1,0,0,0
"GENOSMITH","QB","Geno Smith","NYJ",22,78,9.76,0,NA,209,1,1,4,4,0,0,0,0,0,0,1
"DEREKCARR","QB","Derek Carr","OAK",23,79,9.74,0,NA,146,1,1,2,9,0,0,0,0,0,0,0
"MIKEWALLACE","WR","Mike Wallace","MIA",28,80,9.5,4,NA,0,0,0,1,0,0,3,35,1,0,0,0
"KIRKCOUSINS","QB","Kirk Cousins","WAS",24,81,9.48,0,NA,257,1,4,1,12,0,0,0,0,0,0,1
"ERICEBRON","TE","Eric Ebron","DET",8,82,9.4,4,NA,0,0,0,0,0,0,3,34,1,0,0,0
"VINCENTJACKSON","WR","Vincent Jackson","TB",29,83,9.2,10,NA,0,0,0,0,0,0,3,32,1,0,0,0
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",9,84,9.1,3,NA,0,0,0,0,0,0,2,31,1,0,0,0
"SAMMYWATKINS","WR","Sammy Watkins","BUF",30,85,9,9,NA,0,0,0,0,0,0,4,30,1,0,0,0
"RUEBENRANDLE","WR","Rueben Randle","NYG",31,86,8.9,10,NA,0,0,0,0,0,0,8,89,0,0,0,0
"ROYHELU","RB","Roy Helu Jr.","WAS",23,87,8.6,5,NA,0,0,0,2,8,0,5,78,0,0,0,0
"COBYFLEENER","TE","Coby Fleener","IND",10,87,8.6,3,NA,0,0,0,0,0,0,2,26,1,0,0,0
"FREDJACKSON","RB","Fred Jackson","BUF",24,89,8.5,7,NA,0,0,0,7,33,0,6,52,0,0,0,0
"CJSPILLER","RB","C.J. Spiller","BUF",25,90,8.4,3,NA,0,0,0,15,60,0,3,24,0,0,0,0
"JAMESJONES","WR","James Jones","OAK",32,91,8.3,6,NA,0,0,0,0,0,0,6,83,0,0,0,0
"JULIOJONES","WR","Julio Jones","ATL",33,92,8.2,8,NA,0,0,0,0,0,0,6,82,0,0,0,0
"DWAYNEBOWE","WR","Dwayne Bowe","KC",34,93,8.1,6,NA,0,0,0,0,0,0,5,81,0,0,0,0
"TOBYGERHART","RB","Toby Gerhart","JAX",26,94,8,1,NA,0,0,0,10,32,1,1,8,0,0,0,1
"ANDREROBERTS","WR","Andre Roberts","WAS",35,94,8,5,NA,0,0,0,1,2,0,1,18,1,0,0,0
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",35,94,8,7,NA,0,0,0,0,0,0,5,80,0,0,0,0
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",37,97,7.9,6,NA,0,0,0,0,0,0,2,19,1,0,0,0
"DIONSIMS","TE","Dion Sims","MIA",11,98,7.8,2,NA,0,0,0,0,0,0,1,18,1,0,0,0
"MATTMCGLOIN","QB","Matt McGloin","OAK",25,99,7.46,0,NA,129,1,2,2,3,0,0,0,0,0,0,0
"BRIANHARTLINE","WR","Brian Hartline","MIA",38,100,7.4,7,NA,0,0,0,0,0,0,6,74,0,0,0,0
"GREGJENNINGS","WR","Greg Jennings","MIN",39,101,7.2,4,NA,0,0,0,0,0,0,3,72,0,0,0,0
"DARRENMCFADDEN","RB","Darren McFadden","OAK",27,101,7.2,5,NA,0,0,0,11,40,0,4,32,0,0,0,0
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",27,101,7.2,0,NA,0,0,0,14,72,0,0,0,0,0,0,0
"STEVEJOHNSON","WR","Stevie Johnson","SF",39,101,7.2,2,NA,0,0,0,0,0,0,1,12,1,0,0,0
"JOSHHILL","TE","Josh Hill","NO",12,101,7.2,1,NA,0,0,0,0,0,0,1,12,1,0,0,0
"CLAYHARBOR","TE","Clay Harbor","JAX",13,106,7,8,NA,0,0,0,0,0,0,8,70,0,0,0,0
"DANIELFELLS","TE","Daniel Fells","NYG",14,107,6.8,2,NA,0,0,0,0,0,0,2,8,1,0,0,0
"JIMMYGAROPPOLO","QB","Jimmy Garoppolo","NE",26,107,6.8,0,NA,70,1,0,0,0,0,0,0,0,0,0,0
"ALLENHURNS","WR","Allen Hurns","JAX",41,107,6.8,6,NA,0,0,0,0,0,0,5,68,0,0,0,0
"SHANEVEREEN","RB","Shane Vereen","NE",29,110,6.7,5,NA,0,0,0,8,26,0,5,41,0,0,0,0
"DARRENSPROLES","RB","Darren Sproles","PHI",30,111,6.6,4,NA,0,0,0,1,4,0,2,2,0,1,0,0
"REGGIEBUSH","RB","Reggie Bush","DET",31,112,6.5,6,NA,0,0,0,12,46,0,4,19,0,0,0,0
"TOMBRADY","QB","Tom Brady","NE",27,113,6.36,0,NA,159,1,2,0,0,0,0,0,0,0,0,1
"BRIANLEONHARDT","TE","Brian Leonhardt","OAK",15,114,6.3,1,NA,0,0,0,0,0,0,1,3,1,0,0,0
"ANQUANBOLDIN","WR","Anquan Boldin","SF",42,115,6.2,7,NA,0,0,0,0,0,0,5,62,0,0,0,0
"KENNYSTILLS","WR","Kenny Stills","NO",42,115,6.2,3,NA,0,0,0,0,0,0,2,62,0,0,0,0
"STEVENJACKSON","RB","Steven Jackson","ATL",32,115,6.2,2,NA,0,0,0,13,49,0,2,13,0,0,0,0
"NICJACOBS","TE","Nic Jacobs","JAX",16,115,6.2,1,NA,0,0,0,0,0,0,1,2,1,0,0,0
"JASONWITTEN","TE","Jason Witten","DAL",17,119,6.1,5,NA,0,0,0,0,0,0,5,61,0,0,0,0
"PATRICKDIMARCO","RB","Patrick DiMarco","ATL",33,119,6.1,1,NA,0,0,0,0,0,0,1,1,1,0,0,0
"ARIANFOSTER","RB","Arian Foster","HOU",33,119,6.1,10,NA,0,0,0,8,6,0,7,55,0,0,0,0
"DANIELTHOMAS","RB","Daniel Thomas","MIA",35,122,6,2,NA,0,0,0,5,35,0,1,25,0,0,0,0
"GREGSALAS","WR","Greg Salas","NYJ",44,122,6,4,NA,0,0,0,0,0,0,2,60,0,0,0,0
"NILESPAUL","TE","Niles Paul","WAS",18,122,6,4,NA,0,0,0,0,0,0,3,60,0,0,0,0
"NICKFOLES","QB","Nick Foles","PHI",28,125,5.9,0,NA,195,0,2,1,1,0,0,0,0,0,0,0
"JACEAMARO","TE","Jace Amaro","NYJ",19,126,5.8,5,NA,0,0,0,0,0,0,5,58,0,0,0,0
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",45,127,5.7,15,NA,0,0,0,0,0,0,4,57,0,0,0,0
"BRANDENOLIVER","RB","Branden Oliver","SD",36,128,5.6,4,NA,0,0,0,9,23,0,4,33,0,0,0,0
"DONALDBROWN","RB","Donald Brown","SD",37,129,5.4,6,NA,0,0,0,10,19,0,4,35,0,0,0,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",38,130,5.2,2,NA,0,0,0,13,55,0,1,-3,0,0,0,0
"RICHARDRODGERS","TE","Richard Rodgers","GB",20,130,5.2,2,NA,0,0,0,0,0,0,2,52,0,0,0,0
"ANDREJOHNSON","WR","Andre Johnson","HOU",46,132,5.1,7,NA,0,0,0,0,0,0,6,71,0,0,0,1
"MARQUESCOLSTON","WR","Marques Colston","NO",47,133,5,10,NA,0,0,0,0,0,0,5,50,0,0,0,0
"MARKUSWHEATON","WR","Markus Wheaton","PIT",47,133,5,6,NA,0,0,0,1,-7,0,4,57,0,0,0,0
"DONNIEAVERY","WR","Donnie Avery","KC",49,135,4.6,2,NA,0,0,0,0,0,0,2,46,0,0,0,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","RIA",21,136,4.4,7,NA,0,0,0,0,0,0,3,44,0,0,0,0
"MICHAELCRABTREE","WR","Michael Crabtree","SF",50,137,4.3,8,NA,0,0,0,0,0,0,5,43,0,0,0,0
"OWENDANIELS","TE","Owen Daniels","BAL",22,137,4.3,6,NA,0,0,0,0,0,0,4,43,0,0,0,0
"TRAVARISCADET","RB","Travaris Cadet","NO",39,139,4,6,NA,0,0,0,1,1,0,6,59,0,0,0,1
"RHETTELLISON","TE","Rhett Ellison","MIN",23,140,3.9,1,NA,0,0,0,0,0,0,1,19,0,0,1,0
"JOIQUEBELL","RB","Joique Bell","DET",40,140,3.9,4,NA,0,0,0,8,32,0,2,7,0,0,0,0
"ALLENROBINSON","WR","Allen Robinson","JAX",51,142,3.8,7,NA,0,0,0,0,0,0,5,38,0,0,0,0
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",51,142,3.8,4,NA,0,0,0,0,0,0,2,38,0,0,0,0
"DARRINREAVES","RB","Darrin Reaves","CAR",41,144,3.7,5,NA,0,0,0,12,26,0,3,11,0,0,0,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",41,144,3.7,4,NA,0,0,0,1,2,0,4,35,0,0,0,0
"LANCEDUNBAR","RB","Lance Dunbar","DAL",43,146,3.6,3,NA,0,0,0,0,0,0,2,36,0,0,0,0
"JAMESWHITE","RB","James White","NE",43,146,3.6,3,NA,0,0,0,3,21,0,3,15,0,0,0,0
"KENDALLWRIGHT","WR","Kendall Wright","TEN",53,148,3.5,8,NA,0,0,0,0,0,0,5,55,0,0,0,1
"PHILLYBROWN","WR","Philly Brown","CAR",53,148,3.5,4,NA,0,0,0,0,0,0,2,35,0,0,0,0
"RILEYCOOPER","WR","Riley Cooper","PHI",55,150,3.4,8,NA,0,0,0,0,0,0,6,54,0,0,0,1
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",45,150,3.4,0,NA,0,0,0,11,34,0,0,0,0,0,0,0
"DENARDROBINSONJAX","RB","Denard Robinson Jax","JAX",46,152,3.2,3,NA,0,0,0,9,25,0,3,7,0,0,0,0
"CHARLESCLAY","TE","Charles Clay","MIA",24,152,3.2,4,NA,0,0,0,0,0,0,2,32,0,0,0,0
"PEYTONHILLIS","RB","Peyton Hillis","NYG",47,154,3.1,0,NA,0,0,0,8,31,0,0,0,0,0,0,0
"BRANDINCOOKS","WR","Brandin Cooks","NO",56,154,3.1,6,NA,0,0,0,0,0,0,5,31,0,0,0,0
"MARLONBROWN","WR","Marlon Brown","BAL",56,154,3.1,3,NA,0,0,0,0,0,0,3,31,0,0,0,0
"RUSSELLSHEPARD","WR","Russell Shepard","TB",58,157,3,2,NA,0,0,0,0,0,0,2,30,0,0,0,0
"BRICEBUTLER","WR","Brice Butler","OAK",58,157,3,3,NA,0,0,0,0,0,0,2,30,0,0,0,0
"ANTONIOGATES","TE","Antonio Gates","SD",25,157,3,5,NA,0,0,0,0,0,0,3,30,0,0,0,0
"GREGOLSEN","TE","Greg Olsen","CAR",25,157,3,5,NA,0,0,0,0,0,0,2,30,0,0,0,0
"PRESTONPARKER","WR","Preston Parker","NYG",60,161,2.9,5,NA,0,0,0,0,0,0,3,29,0,0,0,0
"DEREKANDERSON","QB","Derek Anderson","CAR",29,162,2.84,0,NA,71,0,0,0,0,0,0,0,0,0,0,0
"BRANDONLLOYD","WR","Brandon Lloyd","SF",61,163,2.8,5,NA,0,0,0,0,0,0,2,28,0,0,0,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",61,163,2.8,7,NA,0,0,0,0,0,0,4,28,0,0,0,0
"STEVANRIDLEY","RB","Stevan Ridley","NE",48,163,2.8,1,NA,0,0,0,5,28,0,0,0,0,0,0,0
"GARRETTGRAHAM","TE","Garrett Graham","HOU",27,163,2.8,5,NA,0,0,0,0,0,0,3,28,0,0,0,0
"PIERREGARCON","WR","Pierre Garcon","WAS",61,163,2.8,6,NA,0,0,0,0,0,0,2,28,0,0,0,0
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",64,168,2.7,2,NA,0,0,0,0,0,0,2,27,0,0,0,0
"CARLOSHYDE","RB","Carlos Hyde","SF",49,169,2.6,1,NA,0,0,0,10,26,0,0,0,0,0,0,0
"BRANDONGIBSON","WR","Brandon Gibson","MIA",65,169,2.6,4,NA,0,0,0,0,0,0,2,26,0,0,0,0
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","NE",50,171,2.5,0,NA,0,0,0,4,25,0,0,0,0,0,0,0
"CECILSHORTS","WR","Cecil Shorts III","JAX",66,171,2.5,4,NA,0,0,0,0,0,0,2,25,0,0,0,0
"ALFREDBLUE","RB","Alfred Blue","HOU",50,171,2.5,3,NA,0,0,0,9,9,0,2,16,0,0,0,0
"JAYPROSCH","RB","Jay Prosch","HOU",52,174,2.4,2,NA,0,0,0,0,0,0,1,24,0,0,0,0
"JASONAVANT","WR","Jason Avant","KC",67,174,2.4,3,NA,0,0,0,0,0,0,2,24,0,0,0,0
"DANIELHERRON","RB","Daniel Herron","IND",52,174,2.4,0,NA,0,0,0,7,24,0,0,0,0,0,0,0
"JORDANTODMAN","RB","Jordan Todman","JAX",52,174,2.4,2,NA,0,0,0,1,4,0,2,20,0,0,0,0
"JOSHMORGAN","WR","Josh Morgan","CHI",67,174,2.4,4,NA,0,0,0,0,0,0,3,24,0,0,0,0
"JULIANEDELMAN","WR","Julian Edelman","NE",69,179,2.3,8,NA,0,0,0,0,0,0,4,23,0,0,0,0
"ZACHERTZ","TE","Zach Ertz","PHI",28,179,2.3,6,NA,0,0,0,0,0,0,4,43,0,0,0,1
"DAMIENWILLIAMS","RB","Damien Williams","MIA",55,179,2.3,0,NA,0,0,0,6,23,0,0,0,0,0,0,0
"PIERRETHOMAS","RB","Pierre Thomas","NO",55,179,2.3,2,NA,0,0,0,2,8,0,2,15,0,0,0,0
"KAMARAIKEN","WR","Kamar Aiken","BAL",70,183,2.2,1,NA,0,0,0,0,0,0,1,22,0,0,0,0
"JOSEPHRANDLE","RB","Joseph Randle","DAL",57,183,2.2,0,NA,0,0,0,4,22,0,0,0,0,0,0,0
"VINCENTBROWN","WR","Vincent Brown","OAK",70,183,2.2,4,NA,0,0,0,0,0,0,3,22,0,0,0,0
"RYANBROYLES","WR","Ryan Broyles","DET",72,186,2.1,2,NA,0,0,0,0,0,0,1,21,0,0,0,0
"NATEWASHINGTON","WR","Nate Washington","TEN",73,187,2,4,NA,0,0,0,0,0,0,1,20,0,0,0,0
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",58,187,2,2,NA,0,0,0,2,8,0,2,12,0,0,0,0
"BRANDONPETTIGREW","TE","Brandon Pettigrew","DET",29,189,1.9,2,NA,0,0,0,0,0,0,2,19,0,0,0,0
"SOLOMONPATTON","WR","Solomon Patton","TB",74,189,1.9,0,NA,0,0,0,1,19,0,0,0,0,0,0,0
"DAMARISJOHNSON","WR","Damaris Johnson","HOU",75,191,1.8,2,NA,0,0,0,1,8,0,1,10,0,0,0,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",59,191,1.8,2,NA,0,0,0,4,2,0,1,16,0,0,0,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",75,191,1.8,4,NA,0,0,0,0,0,0,4,38,0,0,0,1
"DAVANTEADAMS","WR","Davante Adams","GB",75,191,1.8,3,NA,0,0,0,0,0,0,2,18,0,0,0,0
"DWAYNEHARRIS","WR","Dwayne Harris","DAL",78,195,1.7,2,NA,0,0,0,1,-1,0,2,18,0,0,0,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",60,195,1.7,0,NA,0,0,0,10,17,0,0,0,0,0,0,0
"ROBERTWOODS","WR","Robert Woods","BUF",78,195,1.7,12,NA,0,0,0,0,0,0,3,17,0,0,0,0
"CHASEFORD","TE","Chase Ford","MIN",30,195,1.7,4,NA,0,0,0,0,0,0,1,17,0,0,0,0
"ADRIENROBINSON","TE","Adrien Robinson","NYG",31,199,1.5,1,NA,0,0,0,0,0,0,1,15,0,0,0,0
"BRUCEELLINGTON","WR","Bruce Ellington","SF",80,199,1.5,0,NA,0,0,0,1,15,0,0,0,0,0,0,0
"SCOTTCHANDLER","TE","Scott Chandler","BUF",31,199,1.5,5,NA,0,0,0,0,0,0,2,15,0,0,0,0
